"","Text","Text_Tag","Author","Date","Label"
"92","$65 million from ABC privatization will not pay for even an overpass in Tysons Corner.","Alcohol,transportation","Jena Althorpe","2018/09/09","FAKE"
"93","$700 billion was robbed (from Medicare) to pay for Obamacare.","federal-budget,health-care,medicare","Dev Storry","2017/07/23","FAKE"
"94","1 in 4 Rhode Islanders under the age of 65 does not have health insurance.","health-care","Jeniece Lamborn","2018/01/15","FAKE"
"95","1 percent of candidates that (the National Rifle Association) endorsed in 2012 won.","campaign-finance,guns,pundits","Titus Shipp","2018/04/24","FAKE"
"96","1.3-million people in America make their living off eBay.","economy","Michal Workman","2018/01/17","FAKE"
"97","1.53 million jobs are at risk (from potential defense cuts).","deficit,jobs,message-machine-2012,military","Sophie Tremathack","2018/01/05","REAL"
"98","1/3 of our kids drop out (of high school), cannot go to college or start a career.","corrections-and-updates,education","Peadar Hammill","2018/09/09","FAKE"
"99","10 cents on thedollar from the Clinton Foundation goes to charitable causes.","candidates-biography","Ennis Free","2017/05/23","FAKE"
"100","100 percent of the crime is committed, in estimate, by about 15 percent of the population.","corrections-and-updates,crime,criminal-justice,population","Lucius Humbatch","2018/09/22","FAKE"
"101","110 people a day move to Austin.","city-budget,city-government,population","Sophie Tremathack","2018/11/23","FAKE"
"102","13 percent of Americans, the lowest ever, are without health care.","health-care,polls,public-health","Dorita Tuberfield","2018/07/08","FAKE"
"103","13,000 Floridians are able to vote -- but their governor wont tell them.","elections","Farrell Happel","2018/04/26","FAKE"
"104","134,000 (criminal) aliens have been released by the (Obama) administration in just the past two years.","crime,immigration","Kath Gauvain","2017/12/09","FAKE"
"105","14 percent of noncitizens are registered to vote.","elections","Shannen Morilla","2018/05/30","FAKE"
"106","14,000 Americans . . . lose their health insurance every single day.","health-care","Valerye Waud","2017/03/20","REAL"
"107","15 years ago, cancer drugs cost an average of $10,000 a year. Now its $10,000 a month.","health-care","Vin Seys","2017/01/08","REAL"
"108","150,000 (oil spill) claims have been filed by Floridians, but only 40 percent of them have been paid.","oil-spill","Ursala Ettridge","2017/07/30","REAL"
"109","1928 was last time Republicans had the White House, the House and the Senate.","history","Bart Moseley","2017/01/05","FAKE"
"110","20 million people could lose their current coverage including our senior citizens who are on Medicare.","health-care,medicare,message-machine-2012,10-news-tampa-bay","Kali Cecere","2017/03/03","FAKE"
"111","20 percent of the time (smart guns) wont work.","guns,technology","Levi Ship","2018/10/26","FAKE"
"112","20,000 Kansans lost their health insurance because of (Obamacare).","health-care,message-machine-2014","Roslyn Yerill","2017/01/27","FAKE"
"113","200 consumer laws were destroyed in 2011 when Gov. Scott Walker signed Act 92.","consumer-safety,legal-issues","Drud Sharpus","2018/04/27","FAKE"
"114","200,000 students attempt suicide every year on college campuses.","education,guns,health-care,public-health","Krisha MacFaul","2018/01/01","FAKE"
"115","2008 was the deadliest year of the war (in Afghanistan) for American forces.","afghanistan,military","Dex Bedwell","2017/12/20","REAL"
"116","2008: Unions Spent $400 Million to Elect Obama.","campaign-finance,elections","Odelle Lamperd","2017/05/22","FAKE"
"117","2014 Federal Tax Refunds To Be Delayed Until October 2015.","taxes","Moria Probert","2018/06/01","FAKE"
"118","21-million Americans could have a four-year college scholarship for the money we've squandered in Iraq. 7.6-million teachers could have been hired last year if we weren't squandering this money.","iraq","Jayne Blasl","2017/12/15","FAKE"
"119","22 times Barack Obama said he did not have the authority to implement this type of anti-deportation measure. And then the day after he signed this into law, he said, quote, I just changed the law.","immigration","Lula Akrigg","2017/03/18","REAL"
"120","22 veterans take their own lives each day.","veterans","Samson Stood","2017/03/17","REAL"
"121","25 percent of all drug-related fatal vehicle accidents in the U.S. involve marijuana.","drugs,health-care","Courtnay Risebrow","2018/09/08","FAKE"
"122","25 percent of our economy is the financial sector.","corporations,economy,financial-regulation,pundits","Ferdy Gayforth","2017/09/27","FAKE"
"123","25,000 businesses have been created since (Scott) Walker took office.","jobs,small-business","Burgess Tromans","2018/10/24","FAKE"
"124","25% of human trafficking victims are located in Texas.","crime,labor","Willy Fordyce","2018/09/15","FAKE"
"125","28 percent of Kentuckians dont have any online access.","congress,campaign-advertising,states,technology","Elvira Hercock","2018/09/20","FAKE"
"126","29 mass shootings have been committed by concealed carriers since 2007, while during this period only one (1) licensed civilian meaningfully intervened in a mass shooting.","guns","Minnnie Bellefonte","2018/09/04","FAKE"
"127","3,000 teachers lost their jobs when (Crist) was governor.","economy,education,stimulus","Wilhelm Clemett","2018/06/18","FAKE"
"128","30,000 Arizonans may have no choice on Affordable Care Act coverage.","health-care","Lorry Boydon","2017/05/03","REAL"
"129","300,000 Floridians have lost their health insurance as a result of Obamacare.","health-care","Maynord Sharpus","2017/05/04","FAKE"
"130","300,000 Floridians will lose their current health plans because of Obamacare, a plan Alex Sink supports.","health-care","Yvon De Laspee","2017/07/13","FAKE"
"131","380 Americans have been killed in 294 mass shootings in 2015 alone.","guns","Jeannette Fegan","2017/07/26","FAKE"
"132","40 percent of U.S. gun sales are occurring outside of licensed gun dealers.","criminal-justice,government-regulation,guns,public-health","Jacqueline Gormally","2017/08/11","FAKE"
"133","40,000 veterans in Texas wont get health care because Perry rejected Obamacares Medicaid expansion.","health-care,veterans","Tally Dibling","2017/02/07","REAL"
"134","400 bills have my name on them either as a sponsor or a co-sponsor. You dont get that done unless you work with folks on the other side.","bipartisanship,candidates-biography,history,job-accomplishments","Nertie Lortz","2018/01/05","FAKE"
"135","400,000 Oregonians have gained access to health care through the Affordable Care Act.","health-care","Fayre Presslie","2018/05/27","FAKE"
"136","41 cents out of every dollar (the U.S. spends) is borrowed from places like China.","economy,federal-budget,message-machine-2012","Gladi Smaile","2017/03/12","REAL"
"137","41,200 veterans in Florida dont have health care because Scott didnt expand Medicaid.","health-care,medicaid,veterans","Aleta Warsop","2017/08/13","FAKE"
"138","43,000 people are going to be kicked out of nursing homes or denied nursing home entrance if the Texas House version of the state budget passes into law.","health-care,state-budget","Anthe Dubarry","2018/08/27","FAKE"
"139","44% of homeless people are employed.","housing,poverty,workers","Warren Dockree","2018/09/09","FAKE"
"140","46 percent of women between the age of 16 to 24 despise sexual contact in Japan.","sexuality","Albina Spinelli","2017/07/27","REAL"
"141","47 - New provisions ObamaCare charges the IRS with implementing, according to the Government Accountability Office.","health-care,taxes","Jess Whyke","2018/01/20","REAL"
"142","47 percent of Americanscant pay for an unexpected $400 expense through savings or credit cards, without selling something or borrowing money.","economy,income","Kristoffer Harrema","2018/08/28","REAL"
"143","50 percentof murders in Texas have been linked to illegal aliens.","crime,immigration","Roderich Bengefield","2018/09/20","FAKE"
"144","50% of Hispanic students count on Pell Grants to pay for college.","education,federal-budget","Jo-anne Bakesef","2017/08/03","REAL"
"145","500 percent more traffic here?","city-budget,city-government","Joshia Cardenas","2018/04/20","REAL"
"146","500,000 people have signed up for #Obamacare.","health-care,medicaid","Nelia Treadway","2017/04/13","FAKE"
"147","52 jobs have been saved or created in Florida's 34th Congressional District.","economy,stimulus","Constantine Bunten","2018/12/29","FAKE"
"148","53 percent of Americans cut back on their health care in the last year because of costs.","health-care","Guglielmo Barr","2017/03/30","FAKE"
"149","55 percent of the people who cast a provisional ballot (in Florida) in the last presidential election -- their vote did not count.","elections","Consalve Boarder","2018/08/03","REAL"
"150","57% of the jobs created in Austin from 2009 to 2013 do not pay families a living wage.","city-budget,city-government,poverty","Geri Heighway","2017/07/22","REAL"
"151","59 percent of Americans today believe that Barack Obama is still a Muslim.","candidates-biography,diversity,polls","Eddy Howse","2018/04/13","FAKE"
"152","6.4 million more Americans living in poverty under President Obama.","economy,poverty","Rossy Reynoollds","2017/11/24","FAKE"
"153","60 percent of people on food assistance are working.","economy,welfare","Claudette Croux","2018/10/25","REAL"
"154","60 percent of Texas 8th graders are not proficient in math. Only 26% have a teacher with a undergraduate major in math.","education","Paddie Van Eeden","2017/12/30","REAL"
"155","60 percent of the jobs lost in the 2008 recession were living-wage jobs. Of the jobs weve gotten back, only 40 percent are living-wage.","jobs","Chico Jonczyk","2018/01/10","REAL"
"156","61 percent of non-tea party Republicans actually agree...there is solid evidence the earth is warming, ...[but] 70 percent of tea partiers, contrarily, say there is no solid evidence the earth is warming.","bipartisanship,cap-and-trade,climate-change,environment,market-regulation,science","Homer Livsey","2018/12/28","REAL"
"157","7 out of 10 Oregon families living in poverty have at least one parent who works.","children,families,income,poverty,welfare","Lyndell Deavin","2018/09/16","REAL"
"158","70 percent of Americans believe that we are on the wrong path.","elections,polls","Gaby Schowenburg","2017/01/12","REAL"
"159","70 percent of the people who voted on June 5, 2012, just didnt feel comfortable with the recall of the governor, weakening any idea that Wisconsin is fully behind this Walker agenda.","elections,polls,voting-record","Karlen Jack","2017/11/26","FAKE"
"160","70,000 three-year-olds and four-year-olds across America will lose access to the preschool Head Start program. ... 2,000 in the state of Florida alone.","children,education,federal-budget,poverty","Laryssa Madgett","2018/09/04","FAKE"
"161","700 jobs (were) lost because Allen Boyd voted for the health care bill.","education,elections,health-care,message-machine","Letti Angric","2018/11/24","FAKE"
"162","71% of WIs roads are in poor or mediocre condition and 14% of WIs bridges are structurally deficient or functionally obsolete.","infrastructure,state-budget,transportation","Petronia Fazakerley","2018/01/12","REAL"
"163","74 percent of Republicans support the Affordable Care Act.","health-care,polls","Suzann Roaf","2017/08/06","FAKE"
"164","75 percent of the (air traffic control) towers the Obama Administration is closing are located in Republican Congressional Districts.","federal-budget,transportation","Trina Branchett","2017/08/13","FAKE"
"165","75 percent of the jobs created in the state of Ohio are created in small business. They are not created by huge corporations and those who are very wealthy.","economy,jobs,small-business","Erena Burgwyn","2018/07/20","REAL"
"166","750 days since Bill Nelson the Democrats in the Senate passed a budget. How can this be justified?","federal-budget","Caye Jeannesson","2017/08/09","FAKE"
"167","76 percent of doctors support the use of medical marijuana","marijuana","Concordia Fannin","2018/11/08","FAKE"
"168","78702 is the second-most gentrified ZIP code in the entire country.","housing,poverty,urban","Dulsea Snashall","2018/05/18","FAKE"
"169","8 Syrians caught at Texas border in Laredo.","homeland-security,immigration","Amory Bungey","2017/05/07","FAKE"
"170","8 years of the Clintons, major losses for Democrats across the nation.","elections","Reidar Ninnoli","2017/12/17","REAL"
"171","8.5 million Americans have gotten rebate checks because their insurance companies were spending too much money on executive bonuses and administrative costs and not enough on health care.","health-care","Vladamir Rubel","2018/01/13","REAL"
"172","80 percent of North Carolinians are for the living wage","economy,income,labor,polls,poverty,small-business","Araldo Moores","2017/02/11","REAL"
"173","80 percent of the American people havent gotten a pay raise since the crash.","jobs","Ginelle Meineken","2018/12/08","REAL"
"174","80 to 85 percent of my campaign funds go to donations to various organizations throughout the City of Providence.","campaign-finance,candidates-biography","Vera Rickell","2018/12/05","FAKE"
"175","832,000 people lost their job while (Charlie Crist was)governor.","economy,jobs","Gustie Prendeguest","2017/11/11","FAKE"
"176","90 percent of all pain medications are prescribed in the United States.","drugs","Eilis Rudram","2018/06/10","REAL"
"177","90 percent of babies with Down syndrome are aborted.","abortion","Colman Tsarovic","2017/06/12","REAL"
"178","90 percent of fires in Arizona are human-caused.","fires","Henka Croser","2017/03/03","FAKE"
"179","90% of Americans want national background checks that close loopholes.","crime,criminal-justice,government-regulation,guns","Kippar Burgill","2018/10/11","REAL"
"180","90% of rural women and 55% of all women are illiterate in Morocco.","education,women","Warren Dockree","2017/01/05","FAKE"
"181","91 percent of Latinos support the DREAM Act, which allows undocumented youth to attend college, but Marco Rubio opposes it.","education,immigration,message-machine-2012","Clayson Giddons","2017/08/24","REAL"
"182","91% of suspected terrorists who attempted to buy guns in America walked away with the weapon they wanted.","guns,homeland-security","Katherine Franseco","2018/05/29","REAL"
"183","92 million Americans arent working.","economy,jobs","Shoshanna Zamboniari","2017/02/27","FAKE"
"184","92 percent of President Barack Obamas administration has never worked outside government.","candidates-biography,economy,job-accomplishments","Andonis Mallam","2017/01/13","FAKE"
"185","92 percent of the jobs lost during Barack Obamas first term belonged to women.","jobs,women","Boy Bortolotti","2018/10/20","FAKE"
"186","94 percent of those that are employed by the Department of Education at the federal level were deemed by the department as nonessential employees.","education,federal-budget","Tiler McCorkell","2017/09/27","FAKE"
"187","95 percent of job creators say Wisconsin is headed in the right direction.","corporations,job-accomplishments,jobs,small-business","Kelcey Plampin","2017/10/10","FAKE"
"188","95 percent of teachers and principals are not implicated in the [Atlanta Public Schools cheating scandal] report at all.","education","Kristina Padberry","2018/04/03","FAKE"
"189","95 percent of the income gains in the last few years have gone to the top 1 percent.","income,jobs","Binky Leemans","2018/10/25","REAL"
"190","95 percent of the worlds customers are beyond our shores.","economy,trade","Giorgi Maycey","2018/09/22","FAKE"
"191","97 percent of the work that Planned Parenthood does is about mammograms and preventative health.","abortion,public-health","Horacio Esser","2018/05/09","FAKE"
"192","98 percent of American families make under $250,000 a year.","taxes","Fleming Kemmish","2017/06/25","REAL"
"193","99.97 percent of the kids live in poverty that attend Cleveland public schools.","education,poverty","Hyacinthe Limeburn","2018/10/29","FAKE"
"194","99% of NJ voters do NOT support hunting.","animals,polls","Tierney Hurch","2017/03/03","FAKE"
"195","A ""massive"" federal computer network will make your medical records available to ""millions of people"" with a ""complete lack of privacy and confidentiality,"" while doctors and hospitals who don't take part face ""stiff penalties.""","health-care,privacy,technology","Eldon Elgy","2017/02/22","FAKE"
"196","A (state) trooper with 10 years on the force is getting $500 a year more than a trooper with 10 minutes on the force.","public-safety","Harmony Wittrington","2018/04/28","FAKE"
"197","A $10 million fire fee proposal in St. Petersburg was inspired by Gov. Rick Scott.","city-budget,city-government,taxes","Nedi Pinare","2018/03/29","FAKE"
"198","A $300 million stimulus allocation to Wisconsin has led to the creation of tens of thousands of jobs in every corner of this state.","job-accomplishments,stimulus","Shannen Morilla","2017/02/21","FAKE"
"199","A $5-a-night hotel/motel tax thats part of the transportation bill will hurt Georgias convention business by adding extra costs for large groups coming to the state.","taxes,tourism","Doyle Eccott","2018/02/08","REAL"
"200","A 0.05 standard for drunken driving means having a glass of wine at dinner could make a person drunk.","Alcohol,crime,criminal-justice,public-safety,transportation","Tootsie Sherville","2018/11/04","REAL"
"201","A 2005 gay pride vote had nothing to do with discrimination.","gays-and-lesbians","Ursala Ettridge","2017/01/27","FAKE"
"202","A 2011 measure passed into law with Wendy Davis support removes from the attorney general the ability to settle lawsuits just like the school funding case.","corrections-and-updates,education,market-regulation","Saidee Creese","2018/03/15","FAKE"
"203","A 2013 state law would allow the operator of an iron ore mine in northern Wisconsin to fill in pristine streams and ponds with mine waste.","environment","Clarinda Gorstidge","2018/11/17","REAL"
