Text;Text_Tag;Author;Date;Label
Under President Barack Obamas jobs bill, states would no longer have to lay off teachers, firefighters and police officers.;jobs;Lamont Carverhill;2018/02/08;FAKE
Of our 98,000 teachers who are K-12, over 53,000 of those teachers today are over 50 years old.;education,retirement;Levy Rawlin;2017/04/28;FAKE
Two-thirds of Wisconsinites receiving unemployment checks are not required to search for work due to current work search exemptions.;government-regulation,jobs,poverty,welfare;Shaine Howselee;2017/12/23;REAL
Under President Obamas health-care reforms, the premium for an average plan for a family didnt go down by $2,500 per year, its gone up about $2,500 per year.;corporations,economy,health-care,public-health,workers;Rory Hassen;2018/08/08;FAKE
The IRS also investigated liberal groups, groups that had progressive in their name. ... The IRS was basically looking at everybody.;elections,taxes;Krishnah Toomer;2018/11/24;FAKE
Says Obama promised unemployment would never go above 8 percent.;jobs;Min Rabat;2018/04/30;FAKE
The economy is creating jobs at the fastest pace since 1999.;economy,jobs;Tally Midgely;2017/11/07;REAL
President Obama decided not to meet with Prime Minister Benjamin Netanyahu in New York.;foreign-policy,israel,message-machine-2012;Corby Stichall;2018/03/15;REAL
In a majority of states, you can now marry freely, but can still be fired for who you love.;civil-rights,gays-and-lesbians,states;Salomo Aspel;2018/03/18;REAL
Say Oregon Reps. Peter DeFazio and Earl Blumenauer are socialists who are openly serving in the U.S. Congress.;candidates-biography;Cati Tomei;2017/05/19;FAKE
"Rudy Giuliani is ""probably the most underqualified man since George Bush to seek the presidency.""";job-accomplishments;Harley Ryves;2018/05/16;FAKE
"About half of the presidents have been governors; half of them, senators.";congress,corrections-and-updates,elections,history,states;Janine Walenta;2017/07/13;FAKE
After Britains vote to leave the European Union, within 24 hours, Americans lost $100 billion from our 401(k)s.;economy,retirement;Franny Kelso;2017/09/25;REAL
Medicaid spending declined by 1.9 percent in 2012, the second such decline in 47 years.;medicaid;Fergus Dearn;2018/06/14;REAL
Says 88 Texas constables have died in the line of duty.;crime,criminal-justice,history,public-safety,public-service;Frederich Reame;2017/01/30;REAL
Gov. Rick Scott cut the cost of prepaid college tuition by nearly $20,000.;education;Melessa Limpertz;2017/03/18;REAL
The city of Columbus would save $41 million a year if employees had to contribute to their own, guaranteed-check pensions.;jobs,labor,unions;Tierney Hurch;2017/12/16;REAL
As Florida's CFO, I shut down Krakow's scam and refunded more than $1.2 million to Josephine and other victims of this con man.;job-accomplishments;Orton Wigelsworth;2018/05/27;REAL
You had more women getting computer sciences degrees in the 80s by a factor of 2-plus than you do now.;education,technology,women;Dorolice McElwee;2017/03/17;REAL
The Air Force wants taxpayers to fund a fantasy football league.;families,federal-budget,military;Fran Roseburgh;2017/08/01;FAKE
Barack Hussein Obama will ... force courts to accept Islamic Sharia law in domestic disputes.;islam,message-machine-2012;Evita Ringrose;2017/10/04;FAKE
About 3 percent of murders and crimes are committed with guns from people who actually (legally) purchase those guns.;crime,guns;Welby Cianni;2018/09/23;FAKE
Some neighborhood schools are closing.;education,state-budget;Moyra Struthers;2017/08/06;REAL
He told gay organizers in Massachusetts he would be a stronger advocate for special rights than even Ted Kennedy.;gays-and-lesbians;Nap Gooddy;2018/05/20;REAL
The years that I was speaker, the Florida House consistently offered leaner budgets than the governor offered.;state-budget,taxes;Arlie Gurdon;2017/12/09;REAL
We are already almost halfway to our 2010 goal of creating 700,000 new jobs in seven years.;economy,jobs;Sherill Betjeman;2017/05/28;FAKE
Says the U.S. Supreme Court found that Social Security is not guaranteed.;social-security;Janos Dysart;2017/04/18;REAL
SaysMichael Bennet wants to close Guantanamo Bay prisonand bring terrorists right here to Colorado.;congress,terrorism;Hulda Sturgis;2017/05/22;FAKE
Oregonians have an amazing no-cost way to fight abortion with free political donations;abortion,campaign-finance;Flory Gatsby;2017/08/02;REAL
The president said hes going to bring in 250,000 (Syrian and Iraqi) refugees into this country.;foreign-policy,immigration,terrorism;Burnaby Butting;2018/11/25;FAKE
Research shows that a vast majority of arriving immigrants today come here because they believe that government is the source of prosperity, and thats what they support.;immigration,pundits;Paolina Wimlet;2018/07/29;FAKE
Newt Gingrichs immigration plan offers a new doorway to amnesty.;immigration;Adeline Gervaise;2018/01/10;REAL
Mr. Caprio is a career politician who has never worked in the private sector.;candidates-biography;Olenka Burford;2018/12/12;FAKE
In Rhode Island, 9 percent of workers use the states temporary disability insurance program each year while in New Jersey, the rate is only 3 percent.;disability,labor,states,workers;Kerwinn Bicker;2017/04/29;FAKE
In just 17 years, spending for Social Security, federal health care and interest on the debt will exceed ALL tax revenue!;debt,federal-budget,taxes;Ker Bittleson;2017/01/08;REAL
President Obama took more money from Wall Street in the 2008 campaign than anybody ever had.;campaign-finance,economy,elections,financial-regulation,history,stimulus,voting-record;Justen Folkerts;2017/06/14;REAL
Donald Trump has said nuclear proliferation is OK.;nuclear;Griffin Hedge;2017/01/10;FAKE
Hillary Clinton has taken over $800,000 from lobbyists.;ethics;Fey Bowen;2018/07/14;REAL
Barack Obama has never even worked in business.;candidates-biography;Shari Cromar;2018/06/12;FAKE
Says the Arizona immigration law expressly bans racial profiling.;immigration;Chandal Tippett;2017/12/03;FAKE
Says Gov. Rick Perry has been begging for the federal government to send the Coast Guard to patrol two lakes on the U.S.-Mexico border.;crime,immigration;Brigitte Faltskog;2017/08/03;FAKE
On the VA: Over 300,000 veterans have died waiting for care.;health-care,veterans;Eulalie Castagne;2017/09/27;FAKE
Were now spending 42 percent of our economy on government.;debates,federal-budget,government-efficiency;Elisa de Werk;2018/08/03;REAL
Rob Cornilles supports privatizing Medicare.;medicare,message-machine-2012;Avery Tanslie;2017/03/20;FAKE
In 2005, Dan Branch tried to expand third-trimester abortions in Texas.;abortion,corrections-and-updates;Horacio Esser;2018/07/25;FAKE
We (Democrats) have made steady progress creating jobs and improving our schools.;education,government-efficiency,job-accomplishments,jobs;Allsun Vargas;2018/01/13;FAKE
Michigan and Massachusetts raised their bottle deposit and could no longer afford the program because the redemptions were so high there was no profit in there.;environment;Mattias Halifax;2017/02/11;FAKE
Whether you like to admit it or not, half our general revenue goes to education.;education,state-budget;Gladi Smaile;2017/06/19;REAL
Im the only one whos fought against developers draining the Everglades!;environment,message-machine;Karol Creevy;2018/10/29;FAKE
Says Ron Johnson calls Social Security a Ponzi scheme and wants to privatize the program.;crime,debt,federal-budget,social-security;Goldie Fairlam;2018/01/05;FAKE
There are 31 other states and 10,000 other cities that have the same type of policies that we just passed, referring to North Carolinas House Bill 2.;gays-and-lesbians,government-regulation,sexuality;Shae Jannex;2018/08/18;FAKE
Climate change is directly related to the growth of terrorism.;climate-change,terrorism;Gwendolin Dolder;2018/09/09;FAKE
The jobs bill includes President Obamas tax on soup kitchens;economy,jobs,taxes,workers;Wald Doyley;2017/06/27;FAKE
Says the Obama administration spent taxpayer dollars on electric cars in Finland (and) windmills in China.;stimulus;Edmon Postle;2017/03/14;FAKE
While Sarah was Mayor of Wasilla she tried to fire our highly respected City Librarian because the Librarian refused to consider removing from the library some books that Sarah wanted removed.;civil-rights;Kippar Burgill;2017/09/18;FAKE
If Milwaukee approves reducing its maximum forfeiture for marijuana possession to $50, the city would have 23 different bicycle violations that have a higher forfeiture.;city-government,crime,drugs,government-regulation,marijuana;Kara Muckley;2018/05/03;FAKE
We have more illegal immigrants here than we did five years ago.;immigration;Tamma Priestman;2017/02/20;FAKE
Says Rick Perry wrote a letter supporting Hillarycare.;health-care;Jaymie Caddick;2018/02/05;FAKE
The U.S. Patent and Trademark Office received zero complaints about the Washington Redskins name.;sports;Emmalynne Harman;2017/08/01;FAKE
The presidents health care proposals will cause most Americans to have their premiums increased, not decreased, and hundreds of millions of people lose their current insurance coverage.;health-care,pundits;Erl Thunnerclef;2018/11/19;FAKE
(Mexican immigrants) are more law-abiding than U.S. citizens and that is a statistic.;immigration;Janka Hedylstone;2018/11/01;REAL
Says Chris Christie vetoed a jobs package of 30 bills.;jobs;Vito Krolman;2017/05/12;FAKE
There are already more American jobs in the solar industry than in coal mining.;climate-change,energy,environment,jobs;Aubrey Vasilchikov;2018/01/03;REAL
Says Illinois gubernatorial candidate Bill Bradys first priority after winning the primary was to sponsor a bill that would mass-euthanize sheltered dogs and cats in gas chambers.;agriculture,job-accomplishments,message-machine;Jinny Pond-Jones;2017/04/21;FAKE
Barack Obama is in an economy thats only worsened since hes been president of the United States.;bankruptcy,economy,history,housing,income,job-accomplishments,pundits,abc-news-week,workers;Dorian Hove;2018/02/04;FAKE
"Romney failed to take action against ""sanctuary cities"" in Massachusetts.";immigration;Avram Latliff;2018/10/27;REAL
Says New Jersey is down nearly 200,000 jobs from its pre-recession peak and with Gov. Chris Christie New Jersey has trailed the rest of America when it comes to unemployment for 12 consecutive months.;economy,job-accomplishments,jobs;Shari Cromar;2018/03/10;FAKE
Says Thomas Eric Duncan came into the United States with an elevated temperature.;ebola,health-care,public-health,transportation;Natalie Brandli;2018/02/19;FAKE
We have been in Afghanistan longer now than we have been in any foreign land conducting a war in our nations history.;afghanistan;Nils Thecham;2018/07/15;REAL
Gas prices have gone up $2 since Obama took office.;energy,gas-prices;Zack Renfrew;2018/09/16;FAKE
Webster sponsored a bill to create a form of marriage that would trap women in abusive relationships.;marriage,message-machine,women;Fergus Giottoi;2017/12/20;REAL
Says judges get better benefits at a lower cost than everybody else in the state.;pensions;Kristoffer Harrema;2017/03/04;REAL
There are a lot of casinos across the country that have gone bankrupt.;bankruptcy,economy,gambling,state-budget,state-finances,states;Dunstan Leonardi;2017/01/18;REAL
Small businesses create 70 percent of the jobs in America.;economy,jobs,small-business;Adrian Baddiley;2018/02/11;REAL
"Seniors with coverage under Medicare Advantage will give up ""more than their share"" because of health care reform";health-care,medicare;Erl Thunnerclef;2018/04/19;FAKE
Over 12,000 school kids were arrested in Florida. It makes Florida the nations leader in that area.;children,crime,education;Lyndel Gilmartin;2018/11/02;FAKE
If Texas were a country our economy would rank # 10...in the WORLD.;corrections-and-updates,economy,states;Horacio Esser;2018/06/16;REAL
There are more oil rigs in operation in the United States than the rest of the world combined.;corporations,debt,economy,energy,environment,federal-budget,gas-prices,government-regulation,infrastructure;Pepe Vause;2017/11/06;FAKE
Payday lenders profit from the poor by charging 1,000-plus percent interest.;financial-regulation;Nelia Treadway;2018/11/26;FAKE
"The Social Security trust fund is sound. Without anything being done, it would function well into 2038; and even after that time with no changes, we could pay 80 percent of the benefits that people have earned.";social-security;Luther Simmell;2017/03/18;FAKE
It is a commitment voters take very seriously: The only incumbent in Ohio to break his Pledge and vote for Ted Stricklands income tax hike was defeated soundly on Tuesday.;elections,taxes;Sydney Clemanceau;2017/12/22;REAL
The Obama administration shut down the Amber Alert program because of the government shutdown.;children,crime,federal-budget;Mozes Swyn;2018/04/19;FAKE
The Republicans have 2 percent of the Muslim vote.;religion;Deloris Carslake;2017/04/28;REAL
[W]e see Americas prison population exploding, with America having a greater percentage of its people behind bars than any other nation in the world!;criminal-justice;Aleta Warsop;2017/03/15;REAL
Says that in a hearing, Rep. Gabrielle Giffords suggested to Gen. David Petraeus that the Army put more emphasis on less environmentally damaging methods, like stabbing or clubbing enemy forces in order to minimize the carbon output.;energy,environment,military;Henderson Greder;2017/11/20;FAKE
Every single one of the 41 Republican senators who just blocked a raise in the minimum wage will receive a $2,800 cost-of-living adjustment on January 1, 2015.;economy,jobs;Gabe Ivashkin;2018/05/09;FAKE
In Texas, the No. 1 name for new male babies many of whom will vote one day is Jose.;elections,immigration,pundits;Felicle Bigley;2018/07/11;REAL
Marco Rubio voted against authorizing President Obama to strike Syria after Assad used chemical weapons on his own people.;candidates-biography,congress,foreign-policy,history,terrorism;Ofelia Girt;2017/05/26;REAL
Under the Cash for Clunkers program, all we've got to do is ... go to a local junkyard, all you've got to do is tow it to your house. And you're going to get $4,500.;pundits,transportation;Ursala Ettridge;2018/03/12;FAKE
Not one Republican has the guts to recognize that climate change is real.;cap-and-trade,climate-change,debates,economy,energy,environment,government-regulation,jobs,campaign-advertising,polls,public-safety;Liana Rigmond;2017/04/27;FAKE
While our people work longer hours for lower wages, almost all new income goes to the top 1 percent.;economy,income,workers;Forster Room;2017/10/02;FAKE
David Dewhurst has a record of promoting an income tax.;taxes;Hillel Keer;2017/09/10;FAKE
"Point Pleasant Beach does not own its beaches; they are privately owned and operated by businesses such as Jenkinsons";environment,income;Abigail Pinchin;2018/08/16;REAL
In the past year, more than 20 percent of Americans have changed their mind about the war in Afghanistan. They conclude we shouldn't be there.;afghanistan;Mike Coldridge;2017/12/20;FAKE
In the last five years, 28,000 people have been killed along the U.S.-Mexico border.;crime,homeland-security,immigration;Gwendolin Dolder;2018/09/30;FAKE
The state of Ohio has one of the lowest unemployment rates in the nation right now and is leading the pack in terms of job creation.;economy,jobs;Wilbur Alleburton;2017/12/13;FAKE
Says Obama health reform law denies millions access to affordable insurance.;health-care,workers;Roderic Hubbard;2017/04/14;FAKE
Says HB2 hasnt moved the needle one iota on North Carolinas economy.;corporations,economy,gays-and-lesbians,state-finances,states;Saidee Creese;2017/06/30;FAKE
Close to 30% of our federal prison population consists of illegal immigrants.;immigration;Gaynor Clyburn;2018/06/07;FAKE
Says Rick Scott called education not a core function of the state.;education,state-budget;Shoshanna Zamboniari;2017/02/14;FAKE
The Family Research Council, according to some government agencies, is a terrorist group.;terrorism;Drake Sharer;2018/10/23;FAKE
Says Rep. Jim Weidner proposed a bill taking away health care for 80,000 of Oregons children.;health-care,taxes;Colman Tsarovic;2018/03/23;REAL
Says that in the 1985 election former Gov. Tom Kean had the largest winning margin for a gubernatorial candidate in Jersey history.;elections,states;Ferdy Gayforth;2018/12/27;REAL
